Protein Type	Protein Names	File Name	Accession ID	Hit Number	Hit ID	Hit Length	Species	Query Definition	Hsp Bit Score	Hsp Score	Hsp E-value	Identity	Positives	Gaps	Hsp Qseq	Hsp Hseq	Database
Structural	Collagen	Q02388_blastp_results.txt	Q02388	5	CAH0054779.1	1459	Clonostachys solani	>CAH0054779.1 unnamed protein product [Clonostachys solani]	N/A	405	8.00E-113	41.14	577/1162	159/1162	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	5	CAH0054779.1	1459	Clonostachys solani	>CAH0054779.1 unnamed protein product [Clonostachys solani]	N/A	387	5.00E-107	40.5	566/1163	163/1163	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	5	CAH0054779.1	1459	Clonostachys solani	>CAH0054779.1 unnamed protein product [Clonostachys solani]	N/A	379	4.00E-104	40.13	584/1216	173/1216	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	5	CAH0054779.1	1459	Clonostachys solani	>CAH0054779.1 unnamed protein product [Clonostachys solani]	N/A	379	5.00E-104	39.51	578/1177	175/1177	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	5	CAH0054779.1	1459	Clonostachys solani	>CAH0054779.1 unnamed protein product [Clonostachys solani]	N/A	364	2.00E-99	39.96	556/1141	136/1141	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	5	CAH0054779.1	1459	Clonostachys solani	>CAH0054779.1 unnamed protein product [Clonostachys solani]	N/A	360	6.00E-98	39.5	554/1124	137/1124	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	5	CAH0054779.1	1459	Clonostachys solani	>CAH0054779.1 unnamed protein product [Clonostachys solani]	N/A	312	1.00E-82	40.41	439/886	124/886	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	5	CAH0054779.1	1459	Clonostachys solani	>CAH0054779.1 unnamed protein product [Clonostachys solani]	N/A	263	2.00E-67	39.92	384/774	94/774	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	5	CAH0054779.1	1459	Clonostachys solani	>CAH0054779.1 unnamed protein product [Clonostachys solani]	N/A	256	2.00E-65	41.01	355/695	51/695	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	5	CAH0054779.1	1459	Clonostachys solani	>CAH0054779.1 unnamed protein product [Clonostachys solani]	N/A	163	1.00E-36	41.06	231/470	69/470	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	6	CAI6082612.1	1474	Clonostachys chloroleuca	>CAI6082612.1 unnamed protein product [Clonostachys chloroleuca]	N/A	412	4.00E-115	41.61	577/1156	160/1156	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	6	CAI6082612.1	1474	Clonostachys chloroleuca	>CAI6082612.1 unnamed protein product [Clonostachys chloroleuca]	N/A	412	6.00E-115	40.91	584/1171	158/1171	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	6	CAI6082612.1	1474	Clonostachys chloroleuca	>CAI6082612.1 unnamed protein product [Clonostachys chloroleuca]	N/A	405	1.00E-112	40.64	566/1154	164/1154	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	6	CAI6082612.1	1474	Clonostachys chloroleuca	>CAI6082612.1 unnamed protein product [Clonostachys chloroleuca]	N/A	395	1.00E-109	40.43	584/1212	189/1212	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	6	CAI6082612.1	1474	Clonostachys chloroleuca	>CAI6082612.1 unnamed protein product [Clonostachys chloroleuca]	N/A	395	3.00E-109	40.1	575/1182	188/1182	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	6	CAI6082612.1	1474	Clonostachys chloroleuca	>CAI6082612.1 unnamed protein product [Clonostachys chloroleuca]	N/A	369	5.00E-101	42.02	541/1071	137/1071	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	6	CAI6082612.1	1474	Clonostachys chloroleuca	>CAI6082612.1 unnamed protein product [Clonostachys chloroleuca]	N/A	366	5.00E-100	40.19	556/1142	150/1142	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	6	CAI6082612.1	1474	Clonostachys chloroleuca	>CAI6082612.1 unnamed protein product [Clonostachys chloroleuca]	N/A	365	9.00E-100	40.54	574/1152	115/1152	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	6	CAI6082612.1	1474	Clonostachys chloroleuca	>CAI6082612.1 unnamed protein product [Clonostachys chloroleuca]	N/A	356	1.00E-96	40.51	484/985	120/985	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	6	CAI6082612.1	1474	Clonostachys chloroleuca	>CAI6082612.1 unnamed protein product [Clonostachys chloroleuca]	N/A	354	4.00E-96	39.82	540/1090	105/1090	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	6	CAI6082612.1	1474	Clonostachys chloroleuca	>CAI6082612.1 unnamed protein product [Clonostachys chloroleuca]	N/A	311	2.00E-82	40.27	434/889	139/889	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	6	CAI6082612.1	1474	Clonostachys chloroleuca	>CAI6082612.1 unnamed protein product [Clonostachys chloroleuca]	N/A	270	2.00E-69	40.64	385/780	104/780	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	6	CAI6082612.1	1474	Clonostachys chloroleuca	>CAI6082612.1 unnamed protein product [Clonostachys chloroleuca]	N/A	246	5.00E-62	41.53	365/720	91/720	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	7	KAK7217481.1	1475	Clonostachys chloroleuca	>KAK7217481.1 hypothetical protein V2G26_005484 [Clonostachys chloroleuca]	N/A	408	2.00E-113	40.83	579/1151	140/1151	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	7	KAK7217481.1	1475	Clonostachys chloroleuca	>KAK7217481.1 hypothetical protein V2G26_005484 [Clonostachys chloroleuca]	N/A	399	8.00E-111	41.06	569/1147	150/1147	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	7	KAK7217481.1	1475	Clonostachys chloroleuca	>KAK7217481.1 hypothetical protein V2G26_005484 [Clonostachys chloroleuca]	N/A	392	3.00E-108	40.02	573/1182	188/1182	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	7	KAK7217481.1	1475	Clonostachys chloroleuca	>KAK7217481.1 hypothetical protein V2G26_005484 [Clonostachys chloroleuca]	N/A	391	3.00E-108	39.7	573/1189	178/1189	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	7	KAK7217481.1	1475	Clonostachys chloroleuca	>KAK7217481.1 hypothetical protein V2G26_005484 [Clonostachys chloroleuca]	N/A	380	2.00E-104	39.83	561/1145	165/1145	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	7	KAK7217481.1	1475	Clonostachys chloroleuca	>KAK7217481.1 hypothetical protein V2G26_005484 [Clonostachys chloroleuca]	N/A	375	9.00E-103	40.29	552/1154	178/1154	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	7	KAK7217481.1	1475	Clonostachys chloroleuca	>KAK7217481.1 hypothetical protein V2G26_005484 [Clonostachys chloroleuca]	N/A	367	3.00E-100	39.91	555/1150	184/1150	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	7	KAK7217481.1	1475	Clonostachys chloroleuca	>KAK7217481.1 hypothetical protein V2G26_005484 [Clonostachys chloroleuca]	N/A	366	6.00E-100	40.09	573/1175	164/1175	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	7	KAK7217481.1	1475	Clonostachys chloroleuca	>KAK7217481.1 hypothetical protein V2G26_005484 [Clonostachys chloroleuca]	N/A	357	6.00E-97	41.91	537/1069	133/1069	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	7	KAK7217481.1	1475	Clonostachys chloroleuca	>KAK7217481.1 hypothetical protein V2G26_005484 [Clonostachys chloroleuca]	N/A	353	1.00E-95	40.59	485/988	126/988	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	7	KAK7217481.1	1475	Clonostachys chloroleuca	>KAK7217481.1 hypothetical protein V2G26_005484 [Clonostachys chloroleuca]	N/A	311	1.00E-82	41.29	443/884	129/884	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	7	KAK7217481.1	1475	Clonostachys chloroleuca	>KAK7217481.1 hypothetical protein V2G26_005484 [Clonostachys chloroleuca]	N/A	261	1.00E-66	39.01	374/769	118/769	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	7	KAK7217481.1	1475	Clonostachys chloroleuca	>KAK7217481.1 hypothetical protein V2G26_005484 [Clonostachys chloroleuca]	N/A	102	4.00E-18	42.18	166/339	41/339	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	8	CAG9974160.1	1124	Clonostachys byssicola	>CAG9974160.1 unnamed protein product [Clonostachys byssicola]	N/A	303	2.00E-81	42.35	416/810	88/810	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	8	CAG9974160.1	1124	Clonostachys byssicola	>CAG9974160.1 unnamed protein product [Clonostachys byssicola]	N/A	293	7.00E-78	39.74	406/833	132/833	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	8	CAG9974160.1	1124	Clonostachys byssicola	>CAG9974160.1 unnamed protein product [Clonostachys byssicola]	N/A	290	8.00E-77	40.59	403/813	115/813	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	8	CAG9974160.1	1124	Clonostachys byssicola	>CAG9974160.1 unnamed protein product [Clonostachys byssicola]	N/A	289	9.00E-77	42.68	403/785	75/785	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	8	CAG9974160.1	1124	Clonostachys byssicola	>CAG9974160.1 unnamed protein product [Clonostachys byssicola]	N/A	278	4.00E-73	42.19	391/794	90/794	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	8	CAG9974160.1	1124	Clonostachys byssicola	>CAG9974160.1 unnamed protein product [Clonostachys byssicola]	N/A	274	1.00E-71	40.2	390/816	136/816	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	8	CAG9974160.1	1124	Clonostachys byssicola	>CAG9974160.1 unnamed protein product [Clonostachys byssicola]	N/A	273	3.00E-71	38.73	392/852	159/852	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	8	CAG9974160.1	1124	Clonostachys byssicola	>CAG9974160.1 unnamed protein product [Clonostachys byssicola]	N/A	266	5.00E-69	40.61	402/815	124/815	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	8	CAG9974160.1	1124	Clonostachys byssicola	>CAG9974160.1 unnamed protein product [Clonostachys byssicola]	N/A	263	4.00E-68	41.09	395/791	97/791	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	8	CAG9974160.1	1124	Clonostachys byssicola	>CAG9974160.1 unnamed protein product [Clonostachys byssicola]	N/A	243	8.00E-62	41.68	330/655	78/655	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	8	CAG9974160.1	1124	Clonostachys byssicola	>CAG9974160.1 unnamed protein product [Clonostachys byssicola]	N/A	206	2.00E-50	42.24	297/599	81/599	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	8	CAG9974160.1	1124	Clonostachys byssicola	>CAG9974160.1 unnamed protein product [Clonostachys byssicola]	N/A	204	2.00E-49	40.23	277/532	52/532	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	8	CAG9974160.1	1124	Clonostachys byssicola	>CAG9974160.1 unnamed protein product [Clonostachys byssicola]	N/A	102	5.00E-18	38.71	158/341	40/341	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	9	CAG9949881.1	771	Clonostachys rosea f. rosea IK726	>CAG9949881.1 unnamed protein product [Clonostachys rosea f. rosea IK726]	N/A	226	8.00E-58	43.36	281/565	79/565	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	9	CAG9949881.1	771	Clonostachys rosea f. rosea IK726	>CAG9949881.1 unnamed protein product [Clonostachys rosea f. rosea IK726]	N/A	214	6.00E-54	44.38	268/525	49/525	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	9	CAG9949881.1	771	Clonostachys rosea f. rosea IK726	>CAG9949881.1 unnamed protein product [Clonostachys rosea f. rosea IK726]	N/A	196	3.00E-48	41.86	267/528	39/528	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	9	CAG9949881.1	771	Clonostachys rosea f. rosea IK726	>CAG9949881.1 unnamed protein product [Clonostachys rosea f. rosea IK726]	N/A	190	3.00E-46	41.38	271/551	43/551	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	9	CAG9949881.1	771	Clonostachys rosea f. rosea IK726	>CAG9949881.1 unnamed protein product [Clonostachys rosea f. rosea IK726]	N/A	190	4.00E-46	41.33	266/525	50/525	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	9	CAG9949881.1	771	Clonostachys rosea f. rosea IK726	>CAG9949881.1 unnamed protein product [Clonostachys rosea f. rosea IK726]	N/A	190	4.00E-46	40.87	266/553	73/553	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	9	CAG9949881.1	771	Clonostachys rosea f. rosea IK726	>CAG9949881.1 unnamed protein product [Clonostachys rosea f. rosea IK726]	N/A	182	1.00E-43	39.83	276/580	94/580	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	9	CAG9949881.1	771	Clonostachys rosea f. rosea IK726	>CAG9949881.1 unnamed protein product [Clonostachys rosea f. rosea IK726]	N/A	180	6.00E-43	41.47	265/545	62/545	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	9	CAG9949881.1	771	Clonostachys rosea f. rosea IK726	>CAG9949881.1 unnamed protein product [Clonostachys rosea f. rosea IK726]	N/A	174	6.00E-41	39.89	258/529	56/529	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	9	CAG9949881.1	771	Clonostachys rosea f. rosea IK726	>CAG9949881.1 unnamed protein product [Clonostachys rosea f. rosea IK726]	N/A	168	5.00E-39	42.03	263/533	52/533	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	9	CAG9949881.1	771	Clonostachys rosea f. rosea IK726	>CAG9949881.1 unnamed protein product [Clonostachys rosea f. rosea IK726]	N/A	158	6.00E-36	38.55	236/524	104/524	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	9	CAG9949881.1	771	Clonostachys rosea f. rosea IK726	>CAG9949881.1 unnamed protein product [Clonostachys rosea f. rosea IK726]	N/A	150	3.00E-33	40.27	218/442	53/442	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	9	CAG9949881.1	771	Clonostachys rosea f. rosea IK726	>CAG9949881.1 unnamed protein product [Clonostachys rosea f. rosea IK726]	N/A	109	2.00E-20	41.54	135/272	17/272	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	9	CAG9949881.1	771	Clonostachys rosea f. rosea IK726	>CAG9949881.1 unnamed protein product [Clonostachys rosea f. rosea IK726]	N/A	102	3.00E-18	42.02	152/307	23/307	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	10	KAJ9055778.1	2342	Entomophthora muscae	>KAJ9055778.1 hypothetical protein DSO57_1000636 [Entomophthora muscae]	N/A	231	3.00E-57	37.04	379/864	99/864	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	10	KAJ9055778.1	2342	Entomophthora muscae	>KAJ9055778.1 hypothetical protein DSO57_1000636 [Entomophthora muscae]	N/A	220	8.00E-54	32.25	527/1293	197/1293	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	10	KAJ9055778.1	2342	Entomophthora muscae	>KAJ9055778.1 hypothetical protein DSO57_1000636 [Entomophthora muscae]	N/A	218	4.00E-53	35.47	372/843	83/843	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	10	KAJ9055778.1	2342	Entomophthora muscae	>KAJ9055778.1 hypothetical protein DSO57_1000636 [Entomophthora muscae]	N/A	214	7.00E-52	31.75	539/1367	219/1367	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	10	KAJ9055778.1	2342	Entomophthora muscae	>KAJ9055778.1 hypothetical protein DSO57_1000636 [Entomophthora muscae]	N/A	213	1.00E-51	36.85	346/787	73/787	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	10	KAJ9055778.1	2342	Entomophthora muscae	>KAJ9055778.1 hypothetical protein DSO57_1000636 [Entomophthora muscae]	N/A	199	2.00E-47	32.36	469/1131	162/1131	Query	Subject	Fungal
